state,country,date,cases,deaths
Balochistan,Pakistan,2021-01-30,18815,195
Gilgit-Baltistan,Pakistan,2021-01-30,4908,102
Islamabad,Pakistan,2021-01-30,41359,475
Khyber Pakhtunkhwa,Pakistan,2021-01-30,66953,1897
Punjab,Pakistan,2021-01-30,157353,4736
Sindh,Pakistan,2021-01-30,246437,3992
not provided,Panama,2021-01-30,319453,5244
not provided,Papua New Guinea,2021-01-30,851,9
not provided,Paraguay,2021-01-30,132548,2704
Amazonas,Peru,2021-01-30,19645,279
Ancash,Peru,2021-01-30,36634,1676
Apurimac,Peru,2021-01-30,9585,205
Arequipa,Peru,2021-01-30,53481,1773
Ayacucho,Peru,2021-01-30,16869,412
Cajamarca,Peru,2021-01-30,28557,677
Callao,Peru,2021-01-30,48365,2141
Cusco,Peru,2021-01-30,28377,612
Huancavelica,Peru,2021-01-30,8502,178
Huanuco,Peru,2021-01-30,23291,625
Ica,Peru,2021-01-30,35679,1944
Junin,Peru,2021-01-30,34917,1145
La Libertad,Peru,2021-01-30,40002,2631
Lambayeque,Peru,2021-01-30,35543,2036
Lima,Peru,2021-01-30,507596,17927
Loreto,Peru,2021-01-30,27316,1053
Madre de Dios,Peru,2021-01-30,9765,167
Moquegua,Peru,2021-01-30,17892,405
Pasco,Peru,2021-01-30,7786,185
Piura,Peru,2021-01-30,46163,2307
Puno,Peru,2021-01-30,20909,469
San Martin,Peru,2021-01-30,27558,830
Tacna,Peru,2021-01-30,16817,373
Tumbes,Peru,2021-01-30,10329,380
Ucayali,Peru,2021-01-30,21444,427
Unknown,Peru,2021-01-30,0,0
not provided,Philippines,2021-01-30,523516,10669
not provided,Poland,2021-01-30,1508674,37082
not provided,Portugal,2021-01-30,711018,12179
not provided,Qatar,2021-01-30,150984,248
not provided,Romania,2021-01-30,726918,18264
Adygea Republic,Russia,2021-01-30,12990,117
Altai Krai,Russia,2021-01-30,38823,1177
Altai Republic,Russia,2021-01-30,15395,134
Amur Oblast,Russia,2021-01-30,19396,140
Arkhangelsk Oblast,Russia,2021-01-30,50980,468
Astrakhan Oblast,Russia,2021-01-30,24293,482
Bashkortostan Republic,Russia,2021-01-30,24080,184
Belgorod Oblast,Russia,2021-01-30,27279,367
